Año,Maxima media en C°,Minima media en C°,Media en C°,Lluvia caida en mm,Dias con nieve,Tasa de ocupación Habitaciones - TOH%,Tasa de ocupación Plazas - TOP%,Entrada de personas por San Sebastian,Desembarco Aeropuerto USH,Desembarco Aeropuerto RG,mes_abril,mes_agosto,mes_diciembre,mes_enero,mes_febrero,mes_julio,mes_junio,mes_marzo,mes_mayo,mes_noviembre,mes_octubre,mes_septiembre
2009,16.5,6.2,11.3,13.7,0,53.05241394042969,34.955265045166016,35474.0,33589.0,4465,False,False,False,True,False,False,False,False,False,False,False,False
2009,16.0,5.1,10.3,38.4,0,54.363990783691406,36.91257095336914,26952.0,31671.0,3421,False,False,False,False,True,False,False,False,False,False,False,False
2009,13.9,4.3,8.9,20.7,0,49.85125732421875,34.294097900390625,19468.0,20569.0,4566,False,False,False,False,False,False,False,True,False,False,False,False
2009,9.4,2.5,5.8,59.8,0,52.861045837402344,36.6110725402832,15952.0,15312.0,4194,True,False,False,False,False,False,False,False,False,False,False,False
2009,6.3,-1.2,2.1,11.4,1,55.200862884521484,36.41565704345703,10071.0,9878.0,3910,False,False,False,False,False,False,False,False,True,False,False,False
2009,4.5,-1.5,1.4,19.5,3,54.06368637084961,35.71794891357422,7470.0,11303.0,3800,False,False,False,False,False,False,True,False,False,False,False,False
2009,3.3,-2.3,0.3,24.9,6,56.091800689697266,36.27825164794922,11927.0,18037.0,4962,False,False,False,False,False,True,False,False,False,False,False,False
2009,4.5,-0.9,1.6,79.5,5,44.893253326416016,30.342792510986328,11984.0,15965.0,4241,False,True,False,False,False,False,False,False,False,False,False,False
2009,8.6,0.7,4.2,14.8,2,51.48013687133789,32.702606201171875,12795.0,16948.0,4726,False,False,False,False,False,False,False,False,False,False,False,True
2009,10.8,0.6,5.4,7.3,1,55.26392364501953,36.75129318237305,9907.0,21815.0,3225,False,False,False,False,False,False,False,False,False,False,True,False
2009,10.5,0.9,5.6,4.9,4,65.3567123413086,44.90507888793945,13155.0,32877.0,3427,False,False,False,False,False,False,False,False,False,True,False,False
2009,15.2,4.3,9.7,20.3,0,50.065574645996094,36.3267936706543,18850.0,31462.0,4189,False,False,True,False,False,False,False,False,False,False,False,False
2010,13.2,5.9,10.3,85.5,0,42.90169906616211,28.973875045776367,32131.0,33729.0,4375,False,False,False,True,False,False,False,False,False,False,False,False
2010,12.6,6.2,9.2,40.2,0,54.48637771606445,36.94054412841797,28989.0,29020.0,4029,False,False,False,False,True,False,False,False,False,False,False,False
2010,11.9,4.0,8.0,21.8,0,52.72002029418945,36.0406608581543,18452.0,23737.0,4262,False,False,False,False,False,False,False,True,False,False,False,False
2010,10.8,-1.9,5.7,20.9,0,53.51237869262695,35.120269775390625,13184.0,14922.0,3943,True,False,False,False,False,False,False,False,False,False,False,False
2010,7.1,-0.6,3.8,26.9,0,54.39604949951172,35.30905532836914,9880.0,10807.0,4170,False,False,False,False,False,False,False,False,True,False,False,False
