anio,temp_max,temp_min,temp_media,lluvia_mm,dias_nieve,toh,top,ent_san_sebastian,aero_ush,aero_rg,mes_abril,mes_agosto,mes_diciembre,mes_enero,mes_febrero,mes_julio,mes_junio,mes_marzo,mes_mayo,mes_noviembre,mes_octubre,mes_septiembre
2009,10.8,9.4,10.1,30.8,0,66.1,56.0,26309,33589.0,4465,False,False,False,True,False,False,False,False,False,False,False,False
2009,9.5,8.3,8.9,29.0,0,54.5,45.0,15123,31671.0,3421,False,False,False,False,True,False,False,False,False,False,False,False
2009,9.1,7.9,8.5,64.6,1,39.2,30.7,14684,20569.0,4566,False,False,False,False,False,False,False,True,False,False,False,False
2009,6.1,5.2,5.7,86.2,1,31.5,24.3,13319,15312.0,4194,True,False,False,False,False,False,False,False,False,False,False,False
2009,4.7,2.0,2.6,59.2,4,22.1,16.5,12729,9878.0,3910,False,False,False,False,False,False,False,False,True,False,False,False
2009,2.5,1.7,2.1,51.0,9,24.9,19.6,13143,11303.0,3800,False,False,False,False,False,False,True,False,False,False,False,False
2009,1.9,1.2,1.6,46.7,8,39.7,33.2,13726,18037.0,4962,False,False,False,False,False,True,False,False,False,False,False,False
2009,2.4,1.5,1.9,43.5,1,38.6,32.1,13198,15965.0,4241,False,True,False,False,False,False,False,False,False,False,False,False
2009,5.3,4.2,4.7,33.0,3,43.3,35.4,13510,16948.0,4726,False,False,False,False,False,False,False,False,False,False,False,True
2009,7.6,6.3,7.0,39.7,2,41.5,33.0,14340,21815.0,3225,False,False,False,False,False,False,False,False,False,False,True,False
2009,5.0,3.8,4.4,29.8,5,57.0,43.0,13394,32877.0,3184,False,False,False,False,False,False,False,False,False,True,False,False
2009,9.5,8.2,8.8,43.8,1,47.6,39.6,15124,31462.0,4048,False,False,True,False,False,False,False,False,False,False,False,False
2010,9.7,8.4,9.0,84.6,0,67.1,55.0,20736,33729.0,4375,False,False,False,True,False,False,False,False,False,False,False,False
2010,8.5,7.5,8.0,66.0,0,60.5,47.8,14684,29020.0,4029,False,False,False,False,True,False,False,False,False,False,False,False
2010,8.3,7.2,7.7,26.8,0,48.2,38.5,17341,23737.0,4262,False,False,False,False,False,False,False,True,False,False,False,False
2010,6.8,5.7,6.2,34.5,2,33.2,27.7,14850,14922.0,3943,True,False,False,False,False,False,False,False,False,False,False,False
2010,5.5,4.4,5.0,45.3,2,22.7,18.2,12333,10807.0,4170,False,False,False,False,False,False,False,False,True,False,False,False
2010,2.1,1.2,1.7,57.0,8,19.3,14.1,12146,9237.0,3788,False,False,False,False,False,False,True,False,False,False,False,False
2010,2.2,1.4,1.8,15.4,4,46.5,36.8,12902,21571.0,3662,False,False,False,False,False,True,False,False,False,False,False,False
2010,3.7,2.8,3.2,34.5,6,42.5,33.3,13198,18220.0,4283,False,True,False,False,False,False,False,False,False,False,False,False
2010,4.7,3.6,4.2,45.0,4,48.4,38.4,13132,17442.0,4274,False,False,False,False,False,False,False,False,False,False,False,True
2010,8.0,6.8,7.4,14.8,0,42.8,31.6,16140,21807.0,4318,False,False,False,False,False,False,False,False,False,False,True,False
2010,9.0,7.6,8.3,26.4,1,55.3,41.5,21083,29280.0,4095,False,False,False,False,False,False,False,False,False,True,False,False
2010,7.8,6.5,7.1,80.8,1,47.2,37.1,14684,28672.0,4084,False,False,True,False,False,False,False,False,False,False,False,False
