Año;Mes;Máxima Media en C°;Mínima Media en C°;Media en C°;Lluvia caida en mm;Días con nieve;Tasa de ocupación Habitaciones - TOH(%);Tasa de ocupación Plazas - TOP(%);Entrada de personas por San Sebastian;Desembarco Aeropuerto RG;Desembarco Aeropuerto USH
2009;Enero;16,5;6,2;11,3;13,7;-;;;;4.465;33.589
2009;Febrero;16;5,1;10,3;38,4;-;;;;3.421;31.671
2009;Marzo;13,9;4,3;8,9;20,7;-;;;;4.566;20.569
2009;Abril;9,4;2,5;5,8;59,8;-;;;;4.194;15.312
2009;Mayo;6,3;-1,2;2,1;11,4;1;;;;3.910;9.878
2009;Junio;4,5;-1,5;1,4;19,5;3;;;;3.800;11.303
2009;Julio;3,3;-2,3;0,3;24,9;6;;;;4.962;18.037
2009;Agosto;4,5;-0,9;1,6;79,5;5;;;;4.241;15.965
2009;Septiembre;8,6;0,7;4,2;14,8;2;;;;4.726;16.948
2009;Octubre;10,8;0,6;5,4;7,3;1;;;;3.225;21.815
2009;Noviembre;10,5;0,9;5,6;4,9;4;;;; -;32.877
2009;Diciembre;15,2;4,3;9,7;20,3;-;;;;1.532;31.462
2010;Enero;13,2;5,9;10,3;85,5;-;;;;4.375;33.729
2010;Febrero;12,6;6,2;9,2;40,2;-;;;;4.029;29.020
2010;Marzo;11,9;4;8;21,8;-;;;;4.262;23.737
2010;Abril;10,8;-1,9;5,7;20,9;-;;;;3.943;14.922
2010;Mayo;7,1;-0,6;3,8;26,9;-;;;;4.170;10.807
2010;Junio;4,4;-5,1;0,2;31,8;3;;;;3.788;9.237
2010;Julio;4;-7,8;0,1;10,5;2;;;;3.662;21.571
2010;Agosto;4,2;-4,9;2,1;11,9;1;;;;4.283;18.220
2010;Septiembre;6,7;-0,8;3,3;8,9;1;;;;4.274;17.442
2010;Octubre;11,5;3,5;6,8;9,5;2;;;;4.318;21.807
2010;Noviembre;11,6;6,3;8,3;17,5;-;;;;4.095;29.280
2010;Diciembre;15,1;5,4;9,5;24,7;-;;;;4.084;28.672
2011;enero;14,4;6;10,4;96,6;-;;;37.403;4.755;35.336
2011;febrero;16,2;6,4;11,1;27,3;-;;;36.919;4.758;31.055
2011;marzo;13,8;3,8;8,4;35,8;-;;;22.922;4.976;24.425
2011;abril;9,3;0,6;0;44,5;2;;;12.944;4.321;15.271
2011;mayo;7;0,2;0;26,8;1;;;8.935;4.212;10.127
2011;junio;0;0;0;44,9;1;;;9.239;1.338;3.120
2011;julio;2,7;-2,9;0;57,1;7;;;13.032;3.351;15.753
2011;agosto;4;-2,4;0,4;26,8;3;;;10.532;3.765;15.629
2011;septiembre;7,6;0;3,3;31,6;2;;;11.281;4.487;17.777
2011;octubre;11,3;2,7;6,9;3,5;-;;;16.009;4.044;21.420
2011;noviembre;13,5;4,8;9;58,2;-;;;19.928;4.016;29.453
