Año;Mes;Máxima Media en C°;Mínima Media en C°;Media en C°;Lluvia caida en mm;Días con nieve;Tasa de ocupación Habitaciones - TOH(%);Tasa de ocupación Plazas - TOP(%);Entrada de personas por San Sebastian;Desembarco Aeropuerto RG;Desembarco Aeropuerto USH
2009;Enero;10,8;9,4;10,1;30,8;-;66,1;56;;4.465;33.589
2009;Febrero;9,5;8,3;8,9;29;-;54,5;45;;3.421;31.671
2009;Marzo;9,1;7,9;8,5;64,6;1;39,2;30,7;;4.566;20.569
2009;Abril;6,1;5,2;5,7;86,2;1;31,5;24,3;;4.194;15.312
2009;Mayo;s/d;s/d;2,6;59,2;4;22,1;16,5;;3.910;9.878
2009;Junio;2,5;1,7;2,1;51;9;24,9;19,6;;3.800;11.303
2009;Julio;1,9;1,2;1,6;46,7;8;39,7;33,2;;4.962;18.037
2009;Agosto;2,4;1,5;1,9;43,5;1;38,6;32,1;;4.241;15.965
2009;Septiembre;5,3;4,2;4,7;33;3;43,3;35,4;;4.726;16.948
2009;Octubre;7,6;6,3;7;39,7;2;41,5;33;;3.225;21.815
2009;Noviembre;5;3,8;4,4;29,8;5;57;43;; -;32.877
2009;Diciembre;9,5;8,2;8,8;43,8;1;47,6;39,6;;1.532;31.462
2010;Enero;9,7;8,4;9;84,6;-;67,1;55;;4.375;33.729
2010;Febrero;8,5;7,5;8;66;-;60,5;47,8;;4.029;29.020
2010;Marzo;8,3;7,2;7,7;26,8;-;48,2;38,5;;4.262;23.737
2010;Abril;6,8;5,7;6,2;34,5;2;33,2;27,7;;3.943;14.922
2010;Mayo;5,5;4,4;5;45,3;2;22,7;18,2;;4.170;10.807
2010;Junio;2,1;1,2;1,7;57;8;19,3;14,1;;3.788;9.237
2010;Julio;2,2;1,4;1,8;15,4;4;46,5;36,8;;3.662;21.571
2010;Agosto;3,7;2,8;3,2;34,5;6;42,5;33,3;;4.283;18.220
2010;Septiembre;4,7;3,6;4,2;45;4;48,4;38,4;;4.274;17.442
2010;Octubre;8;6,8;7,4;14,8;-;42,8;31,6;;4.318;21.807
2010;Noviembre;9;7,6;8,3;26,4;1;55,3;41,5;;4.095;29.280
2010;Diciembre;7,8;6,5;7,1;80,8;1;47,2;37,1;;4.084;28.672
2011;enero;10;8,8;9,4;73,6;-;67;55,4;37.403;4.755;35.336
2011;febrero;11,2;10;10,6;21,8;-;55;43,6;36.919;4.758;31.055
2011;marzo;9,3;8,1;8,7;25,2;-;47;34,8;22.922;4.976;24.425
2011;abril;4,8;3,7;4,2;45,6;4;34,7;25,2;12.944;4.321;15.271
2011;mayo;4,5;3,6;4,1;58,6;4;18,9;12,6;8.935;4.212;10.127
2011;junio;2,6;1,8;2,2;19,5;7;11,3;7,4;9.239;1.338;3.120
2011;julio;1,8;1,1;1,4;20,5;5;40,7;33,7;13.032;3.351;15.753
2011;agosto;1,7;0,9;1,3;28,6;5;44,6;34,3;10.532;3.765;15.629
2011;septiembre;4,3;3,3;3,8;28;3;50,9;39,8;11.281;4.487;17.777
2011;octubre;7,5;6,3;6,9;23,4;-;43,3;31,3;16.009;4.044;21.420
