"anio","mes","temp_max","temp_min","temp_media","lluvia_mm","dias_nieve","toh","top","aero_ush","ent_san_sebastian","aero_rg"
2009,"Enero",16.5,6.2,11.3,13.7,0,,,33589,,"4465"
2009,"Febrero",16,5.1,10.3,38.4,0,,,31671,,"3421"
2009,"Marzo",13.9,4.3,8.9,20.7,0,,,20569,,"4566"
2009,"Abril",9.4,2.5,5.8,59.8,0,,,15312,,"4194"
2009,"Mayo",6.3,-1.2,2.1,11.4,1,,,9878,,"3910"
2009,"Junio",4.5,-1.5,1.4,19.5,3,,,11303,,"3800"
2009,"Julio",3.3,-2.3,0.3,24.9,6,,,18037,,"4962"
2009,"Agosto",4.5,-0.9,1.6,79.5,5,,,15965,,"4241"
2009,"Septiembre",8.6,0.7,4.2,14.8,2,,,16948,,"4726"
2009,"Octubre",10.8,0.6,5.4,7.3,1,,,21815,,"3225"
2009,"Noviembre",10.5,0.9,5.6,4.9,4,,,32877,,"-"
2009,"Diciembre",15.2,4.3,9.7,20.3,0,,,31462,,"1532"
2010,"Enero",13.2,5.9,10.3,85.5,0,,,33729,,"4375"
2010,"Febrero",12.6,6.2,9.2,40.2,0,,,29020,,"4029"
2010,"Marzo",11.9,4,8,21.8,0,,,23737,,"4262"
2010,"Abril",10.8,-1.9,5.7,20.9,0,,,14922,,"3943"
2010,"Mayo",7.1,-0.6,3.8,26.9,0,,,10807,,"4170"
2010,"Junio",4.4,-5.1,0.2,31.8,3,,,9237,,"3788"
2010,"Julio",4,-7.8,0.1,10.5,2,,,21571,,"3662"
2010,"Agosto",4.2,-4.9,2.1,11.9,1,,,18220,,"4283"
2010,"Septiembre",6.7,-0.8,3.3,8.9,1,,,17442,,"4274"
2010,"Octubre",11.5,3.5,6.8,9.5,2,,,21807,,"4318"
2010,"Noviembre",11.6,6.3,8.3,17.5,0,,,29280,,"4095"
2010,"Diciembre",15.1,5.4,9.5,24.7,0,,,28672,,"4084"
2011,"enero",14.4,6,10.4,96.6,0,,,35336,"37403","4755"
2011,"febrero",16.2,6.4,11.1,27.3,0,,,31055,"36919","4758"
2011,"marzo",13.8,3.8,8.4,35.8,0,,,24425,"22922","4976"
2011,"abril",9.3,0.6,0,44.5,2,,,15271,"12944","4321"
2011,"mayo",7,0.2,0,26.8,1,,,10127,"8935","4212"
2011,"junio",0,0,0,44.9,1,,,3120,"9239","1338"
2011,"julio",2.7,-2.9,0,57.1,7,,,15753,"13032","3351"
2011,"agosto",4,-2.4,0.4,26.8,3,,,15629,"10532","3765"
2011,"septiembre",7.6,0,3.3,31.6,2,,,17777,"11281","4487"
2011,"octubre",11.3,2.7,6.9,3.5,0,,,21420,"16009","4044"
2011,"noviembre",13.5,4.8,9,58.2,0,,,29453,"19928","4016"
2011,"diciembre",16.3,6.6,11.3,25.6,0,,,30180,"19616","4335"
2012,"enero",17,6.7,11.8,36.8,0,,,37884,"46854","4333"
2012,"febrero",14.3,2.8,8.4,64.3,0,,,33644,"43720","4137"
2012,"marzo",13.9,5.5,9,28.5,0,,,22898,"17731","4293"
2012,"abril",9,1.2,4.9,42.1,2,,,14392,"15894","4615"
2012,"mayo",6.2,-0.9,2.4,18.6,0,,,9723,"10029","4550"
2012,"junio",3.5,-3,0.1,4.1,4,,,8892,"6311","4265"
2012,"julio",2.9,-3.3,-0.1,35.3,8,,,21157,"11907","4671"
2012,"agosto",6,-0.5,2.4,10.1,3,,,15514,"11462","4784"
2012,"septiembre",9,1.1,4.5,27.8,0,,,19830,"13592","5181"
2012,"octubre",12.1,1.9,6.6,8.4,0,61.9,44.1,20017,"15482","5449"
2012,"noviembre",14.2,3.6,9.1,3.4,0,64.6,44.3,27603,"18363","5670"
2012,"diciembre",12.6,4.8,8.5,78,1,58.3,42,29518,"18651","5912"
2013,"enero",18.2,8.2,12.9,25.3,0,49.2,31.5,38270,"47415","7287"
2013,"febrero",15.2,6,10.3,19.2,0,50.7,35.7,31631,"42876","7027"
2013,"marzo",13.4,4.6,8.9,48,0,60,39.1,21699,"22306","6605"
2013,"abril",13.1,3.8,8.1,24.3,0,61.2,39.8,16355,"17033","5984"
2013,"mayo",6.8,-0.6,3.1,13.2,3,63.8,39.7,10934,"9970","5471"
2013,"junio",5,-0.5,2.3,32.3,1,56.7,39.6,12147,"8075","5398"
2013,"julio",5.6,0,2.6,15.4,1,56.9,37.8,22795,"12984","7827"
2013,"agosto",4.8,-1.7,1.3,20,6,63.4,41.9,19650,"12756","6202"
2013,"septiembre",8.1,-1,3.1,16.8,3,62.5,38.8,19143,"13636","6007"
2013,"octubre",11.6,2,6.4,1.2,0,71.1,51.5,22469,"16646","6721"
2013,"noviembre",12.9,3,8,39.5,1,78.6,57.2,29991,"19036","6256"
2013,"diciembre",13.8,4.3,9.2,45.8,0,55.9,43.3,31718,"18208","6849"
2014,"enero",14.6,4.4,9.4,32,0,55.6,38.4,41044,"51581","7401"
2014,"febrero",15.7,5.6,10.4,36.2,0,64.5,45.3,33706,"37810","6794"
2014,"marzo",12.9,3.2,7.5,51,0,69.6,47.2,24378,"22611","6727"
2014,"abril",10.6,1.8,5.7,29,0,70.3,51,18843,"13923","6245"
2014,"mayo",7.1,0.3,3.6,25,0,68.7,44.4,13279,"10494","6329"
2014,"junio",4.3,-1.6,1.4,39.8,3,66.8,39,11254,"6513","6019"
2014,"julio",4,-1.7,1.1,34,3,60.5,39,24722,"10918","6992"
2014,"agosto",5.7,-0.4,2.4,50.6,5,66.3,41.5,22713,"10323","6179"
2014,"septiembre",7.9,1.1,4,40.6,3,68.5,41.3,23956,"10517","6550"
2014,"octubre",11.3,2.2,6.5,17.5,0,66.8,42.2,24776,"14840","6767"
2014,"noviembre",13.3,3.6,8.6,27,0,67.4,42.6,32505,"17524","6989"
2014,"diciembre",14.8,5.2,10.2,52,0,58.8,36.4,34181,"18635","7142"
2015,"enero",16.7,5.6,11.3,5.9,0,59,39.2,45043,"49106","7702"
2015,"febrero",16.3,5.5,10.5,26.1,0,67.3,42.2,38752,"41280","7440"
2015,"marzo",15.1,6,9.8,19.4,0,60,38.2,28433,"24048","7198"
2015,"abril",11.2,1.6,5.7,41.9,0,61.2,38.9,19174,"15212","6859"
2015,"mayo",7.2,1,3.8,78,0,57.2,39.5,14431,"9166","5874"
2015,"junio",3.6,-1.2,1.1,34,2,53.9,34.7,11870,"8095","6269"
2015,"julio",3.1,-2.2,5.5,55.1,8,49.2,32.4,29554,"12547","7050"
2015,"agosto",5.2,-0.6,1.8,52.9,2,54.3,35.3,25954,"12401","6426"
2015,"septiembre",8,-0.6,3,2.5,0,51.9,34.3,26812,"13272","7099"
2015,"octubre",10.7,1.4,6,3.2,0,50,33.5,28208,"17067","7388"
2015,"noviembre",14,3.7,9.1,17.3,0,55.8,37.6,36418,"19835","6393"
2015,"diciembre",14.1,3.3,9.2,26.8,0,35.4,26.8,39529,"22703","6892"
2016,"enero",17.3,6.2,11.8,13.2,0,39.8,29.7,49796,"52052","7970"
2016,"febrero",16.1,5.8,11,36.2,0,40.8,29.2,43026,"44647","7391"
2016,"marzo",15.4,5.8,10.6,24,0,41.2,28.3,34230,"23401","6624"
2016,"abril",9.5,0.7,5.1,2.2,0,42.8,29,18924,"13848","5377"
2016,"mayo",7.3,-1.1,3.1,3.5,,36.7,24.3,14975,"11832","4211"
2016,"junio",6.2,0.3,3.3,8.8,,32.1,21,15065,"10165","4419"
2016,"julio",4.4,-0.7,1.9,34.5,,34.4,21.5,32026,"17399","5439"
2016,"agosto",5.4,-1.7,1.9,40,0,35.8,22.6,28346,"14030","5029"
2016,"septiembre",10.1,1.3,5.7,1,0,36.2,23.2,28371,"13373","5261"
2016,"octubre",12.2,2.6,7.4,11.4,0,38.7,24.5,33537,"19330","6083"
2016,"noviembre",14.8,4.2,9.5,17.5,0,51.7,34.5,38733,"17922","6377"
2016,"diciembre",15.1,5,10.1,58.1,0,35.3,23.1,40469,"22971","6124"
2017,"enero",15.4,5.6,10.5,49.5,0,42.9,32.6,53187,"49033","7112"
2017,"febrero",15.5,6.4,11,87.4,0,42.9,30.3,43505,"41743","6431"
2017,"marzo",12.2,5.6,8.9,21.6,0,44.3,34.7,32523,"23800","6574"
2017,"abril",10.6,2.8,6.7,62.2,0,48,35.8,24046,"17292","5551"
2017,"mayo",7.4,0.7,4,70,0,40.6,31.3,17930,"10963","5616"
2017,"junio",2.9,-2.3,0.3,19.3,4,34.8,22.8,18048,"8714","5619"
2017,"julio",5.1,-0.2,2.5,12,0,37.1,24.4,34326,"16536","7065"
2017,"agosto",5.7,0.2,2.9,24.2,4,40.4,26.1,30349,"14707","6304"
2017,"septiembre",8.7,1,4.9,8.4,5,39.3,27.1,29394,"14976","5983"
2017,"octubre",10.8,2.3,6.5,13.8,0,40.3,27.1,32623,"20004","6500"
2017,"noviembre",13.1,4.2,8.7,24.5,0,52.2,32.8,41458,"20279","6489"
2017,"diciembre",14.6,4.7,9.6,14.1,0,35,22.9,42782,"22616","6308"
2018,"enero",16.4,6.6,11.4,22.9,0,37.9,29.7,49242,"48325","7685"
2018,"febrero",16.9,6,11.5,15.7,0,45,32.5,44891,"42629","6976"
2018,"marzo",13.3,2.8,8.1,20,0,47.5,33.6,36615,"24218","6788"
2018,"abril",9.8,1.1,5.1,19.6,1,49.3,32.1,22126,"17433","6192"
2018,"mayo",7.1,-0.6,3.2,14.8,0,45.2,27.5,16051,"12364","5607"
2018,"junio",3.3,-3.5,-0.1,7.7,4,38.4,23.6,15340,"7289","5199"
2018,"julio",2.9,-4.2,-0.7,4.2,5,38.2,25.2,28404,"11281","6327"
2018,"agosto",6.4,-0.5,2.6,18.5,4,40.4,23.4,28245,"11584","6012"
2018,"septiembre",7.7,-1.3,2.9,11.9,4,42,27.9,31569,"11212","6161"
2018,"octubre",11,0.3,5.5,30.2,1,48.2,31,36093,"14295","6239"
2018,"noviembre",14.5,3.2,8.8,9.6,0,49.2,26.5,40837,"15749","6085"
2018,"diciembre",16.9,5.6,11.4,18.4,0,36.4,23.8,49059,"17012","6004"
2019,"enero",16,4.4,10.7,8.4,0,36.9,25.3,56766,"37814","6839"
2019,"febrero",16.3,4.2,10.1,11.5,0,38.3,25.2,48844,"32428","6339"
2019,"marzo",14,4.8,9.2,42.7,0,39.8,26.3,38784,"20961","7087"
2019,"abril",10.2,1.3,5.5,47.1,0,35.3,24.7,24541,"13922","6133"
2019,"mayo",7.4,-0.3,3.4,47.8,1,35.2,20.7,20493,"9090","5954"
2019,"junio",3.8,-2.4,0.9,33.1,5,31.5,18.9,21093,"7109","5399"
2019,"julio",3.6,-1.6,1.2,60,7,29.5,18.6,36753,"11235","7398"
2019,"agosto",5.9,-2.2,1.5,23.5,2,29.9,16.5,34314,"10542","5478"
2019,"septiembre",9.3,-0.2,3.9,13.7,2,39.2,21.5,34764,"11788","5875"
2019,"octubre",11.3,0.9,6,7.6,3,30.6,17.5,40857,"13434","6327"
2019,"noviembre",13.7,2.8,8.3,18.8,0,44.5,23.8,51289,"16399","5122"
2019,"diciembre",16.1,5.5,10.9,55,0,27.2,15.5,58118,"18173","5435"
2020,"enero",15.9,6.4,11.2,79.7,0,29.4,17.3,62993,"37601","6229"
2020,"febrero",16.6,6.1,11.4,14.8,0,26,16.8,58419,"34596","5455"
2020,"marzo",14.8,4.9,9.8,23.2,0,6.1,7.6,23512,"13346","2941"
2020,"abril",12,1.8,6.5,1.3,0,24.6,21.7,,"1719","112"
2020,"mayo",7.3,0.3,3.9,83.1,0,28.3,19.7,,"2338","109"
2020,"junio",2.5,-4.2,-0.8,11.9,0,14.7,12.8,1500,"2408","24"
2020,"julio",0.9,-6.5,-2.7,25.3,5,22,17.1,978,"2291","83"
2020,"agosto",5.5,-2.2,1.1,7.2,7,24,11.2,382,"1997","162"
2020,"septiembre",8.8,-0.2,4,10.4,2,21.2,12.3,372,"2412","210"
2020,"octubre",12.3,1.7,6.9,11.8,1,15.6,10.9,467,"2784","212"
