"anio","mes","temp_max","temp_min","temp_media","lluvia_mm","dias_nieve","toh","top","aero_ush","ent_san_sebastian","aero_rg"
2009,"Enero",10.8,9.4,10.1,30.8,0,66.1,56,33589,,"4465"
2009,"Febrero",9.5,8.3,8.9,29,0,54.5,45,31671,,"3421"
2009,"Marzo",9.1,7.9,8.5,64.6,1,39.2,30.7,20569,,"4566"
2009,"Abril",6.1,5.2,5.7,86.2,1,31.5,24.3,15312,,"4194"
2009,"Mayo",,,2.6,59.2,4,22.1,16.5,9878,,"3910"
2009,"Junio",2.5,1.7,2.1,51,9,24.9,19.6,11303,,"3800"
2009,"Julio",1.9,1.2,1.6,46.7,8,39.7,33.2,18037,,"4962"
2009,"Agosto",2.4,1.5,1.9,43.5,1,38.6,32.1,15965,,"4241"
2009,"Septiembre",5.3,4.2,4.7,33,3,43.3,35.4,16948,,"4726"
2009,"Octubre",7.6,6.3,7,39.7,2,41.5,33,21815,,"3225"
2009,"Noviembre",5,3.8,4.4,29.8,5,57,43,32877,,"-"
2009,"Diciembre",9.5,8.2,8.8,43.8,1,47.6,39.6,31462,,"1532"
2010,"Enero",9.7,8.4,9,84.6,0,67.1,55,33729,,"4375"
2010,"Febrero",8.5,7.5,8,66,0,60.5,47.8,29020,,"4029"
2010,"Marzo",8.3,7.2,7.7,26.8,0,48.2,38.5,23737,,"4262"
2010,"Abril",6.8,5.7,6.2,34.5,2,33.2,27.7,14922,,"3943"
2010,"Mayo",5.5,4.4,5,45.3,2,22.7,18.2,10807,,"4170"
2010,"Junio",2.1,1.2,1.7,57,8,19.3,14.1,9237,,"3788"
2010,"Julio",2.2,1.4,1.8,15.4,4,46.5,36.8,21571,,"3662"
2010,"Agosto",3.7,2.8,3.2,34.5,6,42.5,33.3,18220,,"4283"
2010,"Septiembre",4.7,3.6,4.2,45,4,48.4,38.4,17442,,"4274"
2010,"Octubre",8,6.8,7.4,14.8,0,42.8,31.6,21807,,"4318"
2010,"Noviembre",9,7.6,8.3,26.4,1,55.3,41.5,29280,,"4095"
